State,Zip Code,Phone,Fax,,,,
KY,42102-3500,270781-51114559,270783-3779,,,,
KY,42101,270781-51114566,270783-3779,,,,
MT,59405,406771-31593969,406268-3803,,,,
NY,14127,716256-1114,716256-1115,,,,
NY,14221,716836-4646341,716836-4696,,,,
NE,69101,308568-7951,308568-7959,,,,
OK,73644,580225-2511426,580821-5596,,,,
AR,72315-1520,870838-7371,870838-7301,,,,
IA,50801,641782-3508,641782-3805,,,,
LA,71270,318251-6380,318251-6145,,,,
CA,92037,858554-49002,858554-2788,,,,
Greensboro,NC,27408,336378-1110122,336378-9986,,,
WV,24970,304647-1102,304781-3485,,,,
WV,24970,304647-6505,304793-3544,,,,
IN,47441,812847-52042134,812847-5218,,,,
IA,50129,515386-0590,515386-2661,,,,
Catskill,NY,12414,518943-0212,518943-0422,,,
TN,37745,423787-5123,423787-5141,,,,
NC,27403,336854-8800,336299-4308,,,,
KY,42104,270793-2134,270793-2270,,,,
CT,6830,203863-4310,203863-4603,,,,
CT,6902,475619-6200,203316-0527,,,,
NY,12834,518926-5333,518926-6628,,,,
MS,38930,662459-2769,662459-2706,,,,
OR,97030,503251-626677110,503489-2626,,,,
GA,30224,770227-0167,678692-0002,,,,
IA,50112-0780,641236-2355,641236-2521,,,,
Grosse Pointe Woods,MI,48236,313881-0411,313881-3099,,,
CA,93036,805988-0616,805983-2681,,,,
Ventura,CA,93003,805988-0616,805983-2681,,,
CA,91942,619461-1830,619797-1484,,,,
WI,53711,608661-72007418,608661-7210,,,,
AL,36451,251275-31914048,251275-3551,,,,
IA,50638,319824-5086,319824-6696,,,,
TX,78155,830401-7850,830401-7512,,,,
GU,96913,671649-1001,671647-4600,,,,
GU,96913,671646-8881716,671648-2554,,,,
PR,969,787789-2101,787789-4261,,,,
MA,2062,781762-5595218,781762-9966,,,,
Guilford,CT,6437,203453-5123,203458-0427,,,
FL,34239,941379-6331,941379-5443,,,,
WI,53805,608375-6321,608375-6319,,,,
IA,52101,608775-268252682,608775-6674,,,,
WI,54601,608775-5337,608775-6674,,,,
WI,54650,608775-2886,608775-6674,,,,
WI,53821,608326-6466,608326-6273,,,,
WI,54656,608269-673163002,608269-1537,,,,
WI,54660,608372-4111,608372-4330,,,,
WI,53934,608339-8373,608339-8329,,,,
IA,52175,608780-1839,563422-9793,,,,
MN,55981,651565-5556,651565-5674,,,,
WI,54773-0065,715538-4355,715538-4340,,,,
MN,55987,800362-956723344,608775-6175,,,,
UT,84634,435528-2125,435528-3895,,,,
CO,81230,970648-7126340,970641-7299,,,,
NY,14830,607937-7060,607937-7358,,,,
NY,13045,607756-3793,607756-3802,,,,
IA,50115,641332-3806210,641332-3886,,,,
NY,14850,607219-4600,570964-9017,,,,
NY,14845,607739-3874,607795-5166,,,,
NY,14850,607257-5858433,607257-1718,,,,
NY,13827,607687-6101,607687-5994,,,,
NY,14904,607734-3929,607734-0781,,,,
PA,16901,570724-4241,570724-5510,,,,
PA,18840,570887-7150,570887-6405,,,,
IA,52052-0550,563252-5552,563252-5553,,,,
GA,30046,770339-4000,770339-9037,,,,
GA,30046,770995-33002324,770682-8024,,,,
Raleigh,NC,27614,919847-7475,877504-7361,,,
OH,43452,419734-31313435,419732-4039,,,,
CA,90007,323865-3226,323224-7830,,,,
GA,30535,706754-21612300,706754-5345,,,,
NJ,7047,201854-5014,201520-4798,,,,
NJ,7675,201781-1400,201383-1976,,,,
NJ,7042,973873-7787,973680-7946,,,,
NJ,7030,201488-2660,201488-6784,,,,
NJ,7840,908850-6843,908979-8787,,,,
CA,95926,530898-0500,530898-0533,,,,
IA,50595,515832-78007781,515832-1123,,,,
TX,76531,254386-1536,254386-5012,,,,
IL,62859,618643-23612315,618643-2087,,,,
IL,61254,309944-9135,309944-9286,,,,
Romney,WV,26757,304822-4929,304822-4956,,,
SC,29944,803943-1246,803943-1247,,,,
IA,50423,641843-5190,641843-5008,,,,
MO,63401,573231-3290,573231-3731,,,,
MO,63401,573248-5300,573248-5302,,,,
VA,23116,804327-8702,804730-1491,,,,
GA,30120,762235-1561,770276-7258,,,,
MI,48441,989479-3201253,989479-5022,,,,
WA,98520,360533-0400,360533-5633,,,,
CA,90509-2910,424306-8178,310782-6323,,,,
CA,90502,424306-8232,310782-6323,,,,
IL,62982,618285-6634331,618285-6651,,,,
TN,38372,731926-8161,731926-8320,,,,
OH,43326,419675-8181,419675-3207,,,,
LA,71465,318495-3131303,318495-0746,,,,
KY,40831,606573-81008175,606573-8121,,,,
NE,68920,308928-3008,308928-2816,,,,
NY,10037,212939-4294,212939-4987,,,,
TX,78550,956365-1099,956365-1098,,,,
Dunn,NC,28334,910892-10004172,910694-1308,,,
OR,97720,541573-8359,541573-4186,,,,
TX,77054,713566-3474,713566-3476,,,,
TX,77054,713566-3475,713566-3476,,,,
TX,77099,281454-0982,281454-0980,,,,
TX,77047,713982-5989,,,,,
TX,77039,281985-7759,832487-2473,,,,
TX,77506,713982-5989,,,,,
TX,77026,713566-6119,713566-6140,,,,
TX,77074,713566-3475,,,,,
Sylva,NC,28779,828586-7950,828586-7779,,,
Harrisburg,IL,62946,618253-0222,618253-0468,,,
OH,43907-9552,740942-6212,740942-6346,,,,
MO,64424,660425-0274,660425-7892,,,,
IN,47112,812738-42512641,812734-3816,,,,
KY,41031-7498,859235-3559,859235-3688,,,,
VA,22801,540434-3831,877202-2032,,,,
CT,6098,860738-5990,860379-1002,,,,
CT,06102-5037,860972-2813,860696-3030,,,,
NY,10530,914761-4030,914949-2931,,,,
AL,35640,256737-2707,256678-7794,,,,
MA,2215,617421-1372,617421-2134,,,,
NE,68901,402462-4070,402461-8460,,,,
PR,918,787754-1422,787754-8555,,,,
PR,961,787787-1946,787787-1940,,,,
Bayamon,PR,959,787787-1946,787787-1940,,,
AZ,86403,928302-5411,928505-5772,,,,
,Waipahu,HI,96797,808949-0091,808957-0005,,
,Honolulu,HI,96814,808949-0091,808957-0005,,
,Kailua-Kona,HI,96740-9754,808329-7314502,808961-9236,,
IA,51023,712551-3109,712551-3177,,,,
NC,27104,336768-3632,336768-4473,,,,
KS,67601,785623-6565,785261-6564,,,,
WI,54843-6391,715934-4237,715934-4279,,,,
KY,41701,606487-7070,606487-7010,,,,
CA,95023,831636-2656,831636-2605,,,,
FL,34972,877331-7027,863824-2315,,,,
FL,34209,866463-7004,941761-0260,,,,
FL,33511,813681-05552553,813916-2942,,,,
FL,32308,888702-2152,877304-4526,,,,
FL,34452,877351-7012,352344-6908,,,,
FL,34223,941473-5023,941473-5038,,,,
FL,32547,888894-2114,850315-7844,,,,
FL,32405,850747-7775,877304-4525,,,,
FL,33870,863471-5813,863314-3164,,,,
FL,33461,561548-3530,561548-3832,,,,
FL,33175,877341-7019,786315-4197,,,,
FL,32771,407302-7372,407302-7311,,,,
FL,33770,727588-5715,727588-5670,,,,
FL,32216,888887-1979,904702-6369,,,,
FL,32225,904735-8402,904702-6369,,,,
FL,33063,877331-7031,866205-9556,,,,
FL,34613,352606-7028,352597-6052,,,,
FL,32073,888887-6675,904639-3812,,,,
Loxahatchee,FL,33470,877331-7023,561792-1012,,,
St. Petersburg,FL,33707,727341-7533,727341-7674,,,
FL,34758,407530-2350,407530-2310,,,,
FL,33573,813634-0366,813634-0452,,,,
FL,33609,813873-6409,813873-6471,,,,
FL,34952,772335-40003295,772398-3687,,,,
FL,33710,800617-7095,727341-4944,,,,
FL,34655,727816-2662,727372-7205,,,,
FL,32827,833257-6021,689216-8036,,,,
FL,33328,954475-4350,954475-5892,,,,
FL,32514-6049,888894-2113,850494-5359,,,,
FL,33324,954476-3918,954476-3983,,,,
Nashville,TN,37203,615342-5006,615342-5009,,,
VA,23860,804458-2400,804452-3388,,,,
MN,55408,612873-25004185,612904-4545,,,,
CA,95448,707473-4400,707473-4408,,,,
Clinton,MA,1510,978466-2620,978368-3844,,,
Fitchburg,MA,1420,978343-5090,978466-2684,,,
Leominster,MA,1453,978466-2660,978466-2684,,,
PA,15090,878332-4102,878332-4489,,,,
PA,18014,610402-2791,610402-0695,,,,
FL,34761,407296-1170,407253-1660,,,,
San Francisco,CA,94111-3601,415321-4674,415321-4677,,,
San Bernardino,CA,92408,909890-5856,909890-5725,,,
San Francisco,CA,94109,415248-3700,650257-6233,,,
Daly City,CA,94015,650757-2030,650757-2036,,,
Laguna Hills,CA,92653-3627,949330-8996,949330-8997,,,
FL,32901,321728-6006,321728-6014,,,,
FL,32940,321434-6100,321434-9259,,,,
Palm Bay,FL,32907,321434-6100,321434-6040,,,
San Juan,PR,927,787474-08201,787474-3655,,,
CO,80238,303962-3900,303962-3901,,,,
CO,80012,303750-8400,303751-0360,,,,
CO,80211-5601,303964-1444,303500-1485,,,,
Lakewood,CO,80228,720321-0400,720321-8231,,,
Longmont,CO,80501,303651-5161,303651-5173,,,
MN,55112,952967-7860,651523-8509,,,,
MN,55125,651702-5321,651702-5355,,,,
NJ,8050,609660-9729,609978-2076,,,,
NJ,8527,732497-1200,732928-0388,,,,
CA,92507,951682-1099,951656-6068,,,,
Miami,FL,33176,305398-3575,305398-3579,,,
CO,80112,303269-3241,303269-3242,,,,
Aurora,CO,80012,303338-7292,303338-7521,,,
MN,55107,651293-8105,651293-8108,,,,
MN,55420,952541-2867,952541-2855,,,,
MN,55429,651254-8200,763503-4425,,,,
MN,55108,651641-3163,651632-8974,,,,
MN,55433,651254-8200,763587-9136,,,,
St. Paul,MN,55114,651254-2760,651254-2761,,,
MN,55109,651523-9800,651523-9831,,,,
MN,55112,651402-6308,608839-9057,,,,
MN,55303,952967-7075,763587-4228,,,,
MN,55110,651653-2134,651653-2137,,,,
,Morristown,TN,37813,423586-4545,423587-8899,,
TX,75246,469800-9240,469800-9250,,,,
IN,46163,317468-4600,317861-5325,,,,
Brownsville,TX,78520,956504-3278,956504-3287,,,
ND,58368,701776-52612255,701776-7013,,,,
TX,76825,325792-3535,325597-2981,,,,
CO,81201,719530-2241,719530-2203,,,,
KY,40222,502429-6500,502429-0770,,,,
IL,62959,618985-8007,618985-8031,,,,
UT,84032,435657-4397,435657-4387,,,,
MO,64601,660214-8325,660214-8324,,,,
IA,51247,712476-8023,712476-8006,,,,
AL,35660,256386-4150,256386-4516,,,,
MI,49868,906293-9134,906293-9135,,,,
AR,72342,870816-3920,870816-3931,,,,
Birmingham,AL,35205,205930-1800119,205930-1851,,,
AL,35055,256739-26265112,256739-6588,,,,
TN,38351,731968-1812,731968-1898,,,,
NE,68371,402723-45124002,402723-4493,,,,
Henderson,TX,75652,903655-6535,903655-3892,,,
TX,79606,325428-1380,325428-1399,,,,
TX,79601,325670-2600,325670-2637,,,,
TX,76801,325641-9498,325641-8290,,,,
MN,56136,507275-3141,507275-2268,,,,
IN,46122,317745-3404,317718-4340,,,,
IN,46112,317745-3404,317718-4340,,,,
Plainfield,IN,46168,317745-3404,317718-4340,,,
FL,33935,863675-2356,863675-2407,,,,
FL,33440,863902-3061,863677-9333,,,,
MN,55404,612873-25004185,612904-4545,,,,
MN,55443,612873-2500,612904-4545,,,,
MN,55423,612873-2500,612904-4545,,,,
Henrietta,NY,14667,585922-3237,585922-3625,,,
TN,38242,731644-8486,731644-8488,,,,
IA,52641,319385-6158,319385-6719,,,,
IN,47362,765521-1415,765521-1433,,,,
Napoleon,OH,43545-9399,419591-3830369,419591-3874,,,
MI,49201,517205-4905,517205-7845,,,,
MI,49201,517205-4905,517205-7769,,,,
MI,49201,517205-4905,517205-7769,,,,
MI,49203,517205-4905,517205-7325,,,,
MI,48202,313916-9624,313916-9625,,,,
MI,48067,248325-3828,248325-3863,,,,
MI,48183,734671-1440,734671-1614,,,,
MI,48047,586203-1600,586421-3117,,,,
MI,48035,586203-1600,586285-3873,,,,
Clinton Township,MI,48038,586203-1600,586263-2509,,,
MI,48150,734523-1720,734523-1783,,,,
MI,48170,248325-3400,248325-3863,,,,
MI,48302,248325-34001,248325-3863,,,,
MI,48235,313653-2550,313753-2680,,,,
MI,48126,313982-8650,313982-8575,,,,
MI,48313,586247-2920,586247-2939,,,,
MI,48313,586977-9972,586977-6408,,,,
MI,48180,313375-2350,313375-2356,,,,
MI,48038,248325-3404,586336-2401,,,,
MI,48322,248325-3828,248325-3863,,,,
MI,48236,313640-2182,313640-2316,,,,
Herington,KS,67449,785258-2207145,785258-5127,,,
TN,37122,629255-3303,629255-3978,,,,
TN,37203,629255-3303,629255-3978,,,,
TN,37027,629255-3300,629255-3978,,,,
TN,37205,629255-3303,629255-3978,,,,
PA,15010,866901-6266,724770-7929,,,,
PA,15205,866901-6266,412749-6776,,,,
PA,15143,866901-6266,724770-7929,,,,
OH,43920,866901-6266,724770-7929,,,,
PA,16117,866901-6266,724770-7929,,,,
PA,15001,866901-6266,724770-7929,,,,
PA,15136,866901-6266,724770-7929,,,,
MO,65041,573486-2191234,573486-5018,,,,
Concord,MA,1742,978287-8107,978287-8104,,,
MA,1440,978630-5070,978630-6123,,,,
Harker Heights,TX,76548,254680-6201,254680-6380,,,
CA,92252,760366-6175,760366-6242,,,,
MN,55746,218362-7118,218362-7144,,,,
GA,30110,770836-9721,770824-2375,,,,
NV,89801,775621-5800,775621-5801,,,,
CA,93535,661471-4120,661524-2911,,,,
CO,81052,719336-0261,719336-0265,,,,
NC,27262,336878-6037,336878-6994,,,,
Albuquerque,NM,87109,505332-5800,505332-5801,,,
NM,87124,505332-69501,505332-5801,,,,
IL,60487,708361-0220,708923-3269,,,,
IL,60463,708923-3074,708923-3269,,,,
Penfield,NY,14526,585487-3300,585377-9746,,,
Rochester,NY,14623,585487-3300,585334-5519,,,
Rochester,NY,14605,585487-3300,585334-5519,,,
MS,39466,601358-9535,601358-9757,,,,
OH,45133,937393-61006266,937840-6671,,,,
CA,94602,510437-415744157,510535-7315,,,,
NY,14620,585341-6869,585341-8087,,,,
NC,28741,828526-1450,828526-1468,,,,
FL,33870,863385-6655,863385-2282,,,,
TX,78624,830990-6181,830990-2825,,,,
West Covina,CA,91790,626962-3525,626962-0032,,,
,Glendora,CA,91740,626698-7266,626914-6254,,
TX,76712,254202-4220,254202-4299,,,,
OH,44124,440312-0143,440312-6420,,,,
OK,74017,918341-83168316,918343-6938,,,,
OK,74023,918225-8220,918550-6706,,,,
OK,74437,918650-1327,918650-1394,,,,
Mayfield Heights,OH,44124,440312-0143,440312-1707,,,
OK,74133,918294-4700,918294-4710,,,,
MI,48726,989912-6374,989912-6127,,,,
IL,62049,217532-4196,217532-4428,,,,
NJ,8844,908874-76002746,908874-7052,,,,
MI,49242,517437-4895,517437-5156,,,,
PA,17331,717316-3500,717316-3550,,,,
SC,29926,843836-1664,843689-8489,,,,
Morristown,NJ,7960,973538-8181,973538-6565,,,
,Morristown,NJ,7960,973631-1158,973631-1156,,
Brookline,MA,2446,617754-0450,617754-0460,,,
NJ,7607,551996-2222,201525-0843,,,,
Hackensack,NJ,7601,551996-2222,201525-0843,,,
CA,92663,949764-5573,949764-5463,,,,
CA,92653,949829-5533,949763-7379,,,,
CA,92676,949829-5500,949581-9185,,,,
CA,92618,949829-5533,949581-9155,,,,
CA,92618,800309-9729,949557-0181,,,,
CA,92610,949557-0780,949557-0781,,,,
CA,92626,949764-1888,714668-0378,,,,
CA,92656,949764-7555,949425-1779,,,,
Huntington Beach,CA,92648,714378-499210136,714968-7235,,,
CA,92604,949451-600050001,949551-8115,,,,
NJ,7030,201418-3220,201418-1877,,,,
OH,43138,740380-8204,740380-2343,,,,
,Raeford,NC,28376-9137,910615-5116,910615-9754,,
Holland,MI,49423,616355-3865,616396-2453,,,
MI,49424,616355-3865,616392-1428,,,,
MI,49464,616494-4197,616396-2453,,,,
Charleston,SC,29425,843792-8439,843876-0233,,,
FL,33021,954966-3600315,954967-1962,,,,
NJ,7733,732671-6618,732671-7353,,,,
MS,39095,662834-5123,662834-5145,,,,
KS,66436,785364-9677,785364-9616,,,,
AZ,85621,520285-8092,520285-8097,,,,
IL,60629,773257-4040,773884-8061,,,,
Silver Spring,MD,20910-1484,301754-7360,301754-7477,,,
NM,87571,575737-3231,575737-3232,,,,
MA,1844,978686-6492,978681-0654,,,,
NJ,7666,201833-7100,201833-7248,,,,
PA,19152,215938-5700,215938-3479,,,,
Huntingdon Valley,PA,19006,215938-5700,215214-0629,,,
PA,19020,215938-5700,215245-4140,,,,
PA,19053,215938-5700,215396-3996,,,,
PA,18966,215938-5700,215396-3996,,,,
MT,59301,406233-2677,406233-2694,,,,
Holyoke,MA,1040,413534-2594,413540-5099,,,
OH,45701,740589-3100,740566-4012,,,,
OH,45631,740446-5289,740446-5697,,,,
OH,45640,740395-8766,740395-8893,,,,
OH,45769,740992-00607637,740446-5154,,,,
FL,33033,305246-5600101,305246-1320,,,,
FL,33033,786243-8520,786243-8562,,,,
AZ,85020,623780-4673,623434-2788,,,,
Phoenix,AZ,85027,623780-4673,623434-2789,,,
Phoenix,AZ,85085,623780-4673,623434-2788,,,
IL,60942-1801,217383-3270,217383-4015,,,,
IL,61747,309449-4230,309449-6014,,,,
TN,37055,615326-2910,615326-2932,,,,
IA,51445,712364-7237,712364-7249,,,,
PR,00919-1227,787474-8878,787771-7445,,,,
PR,680,787652-60391029,787832-3385,,,,
Aguadilla,PR,603,787819-08831032,787658-0294,,,
PR,927,787936-14775305,787936-1491,,,,
San German,PR,683,787892-18601205,787892-5803,,,
Hato Rey,PR,918,787523-2600,787474-7603,,,
KS,67003,620914-12002700,620914-1254,,,,
PR,731,787844-20806070,787842-5105,,,,
CAROLINA,PR,984,787757-1800332,787769-1134,,,
Oklahoma City,OK,73112,405601-4500,405601-4525,,,
Castaner,PR,631,787829-50101190,787665-0429,,,
PR,725,787653-34341794,787653-3105,,,,
PR,725,787653-05501031,787653-4540,,,,
PR,00785-0011,787864-43002415,787864-0054,,,,
PR,921,787782-99994111,787782-1442,,,,
PR,683,787892-53004242,787892-5504,,,,
PR,623,787851-2025228,787254-0235,,,,
PR,614,787650-10301566,787650-1036,,,,
PR,717,787848-56003627,787284-3421,,,,
CT,6050,860224-5244,860224-5907,,,,
CT,6489,860276-5299,860276-5297,,,,
PA,19104,215662-3000,215662-7436,,,,
Arecibo,PR,612,787650-72721113,787650-7304,,,
PR,917,787641-23231630,787754-6876,,,,
Yauco,PR,00698-5643,787856-10002153,787856-7714,,,
PR,680,787834-01013338,787265-2120,,,,
PR,792,787852-07684401,787852-0157,,,,
PR,676,787877-80001306,787877-1190,,,,
Cotto Laurel,PR,780,787848-21003057,787651-2295,,,
San Juan,PR,00923-3002,787767-51004054,787332-0017,,,
WY,82443,307864-5047,307864-5028,,,,
ME,4730,207521-2193,207532-0902,,,,
Warner Robins,GA,31093,478329-3200,478975-6774,,,
Houston,TX,77055,713797-1919,713383-9933,,,
TX,77584,713797-19193338,713383-9933,,,,
Houston,TX,77008,713797-19195216,713383-9933,,,
TX,77058,281523-3432,281523-2062,,,,
TX,77098,713441-9740,713790-3119,,,,
TX,77030,713441-7465,713790-3124,,,,
TX,77479,281274-1726,281274-0180,,,,
TX,77385,936270-3600,936270-3602,,,,
TX,77094,832522-1234,832522-1031,,,,
TX,77070,281737-1929,281737-4656,,,,
NE,68873,308754-4421171,308754-2309,,,,
AR,71852,870845-8070,870845-8259,,,,
Washington,DC,20019,202865-2120,202617-2998,,,
DC,20060,202865-3610,202865-6636,,,,
WI,54568,715356-8020,715356-8254,,,,
PR,915,787268-41712008,787919-3656,,,,
IL,62565,217774-39615130,217774-6414,,,,
Greenville,IL,62246,618664-12308555,618664-9678,,,
Belleville,IL,62220,618222-4639,618222-4626,,,
IL,61938,217347-1540,217347-1377,,,,
IL,62401,217347-1540,217347-1792,,,,
CA,90003,323897-6300,323232-0764,,,,
NY,12885,518623-284421450,518623-0012,,,,
WI,54016,715531-6434,715531-6439,,,,
NJ,7094,201392-3518,201392-3239,,,,
NJ,7306,201656-5050,800706-0381,,,,
NJ,7087,201665-8707,800706-0381,,,,
Monroe,NY,10950,845220-22221052,845784-3755,,,
NY,12553,845220-22225050,845220-2241,,,,
NH,3894,603569-7529,603569-7531,,,,
NC,28621,336527-7398,336527-7175,,,,
PR,791,787852-3540,787850-1141,,,,
IA,50548,515332-7663,515332-7687,,,,
NV,89445,775623-52221535,775625-8532,,,,
IL,60622,773292-82008209,773278-8871,,,,
TX,75401,903408-50005028,903408-5002,,,,
NJ,8807,908782-47008409,908284-5222,,,,
NJ,8822,908782-47008409,908782-0076,,,,
Huntington Beach,CA,92647,714842-5337,714847-6597,,,
CA,91101,626698-7226,626577-2986,,,,
CA,91007,626701-5850,626701-5854,,,,
UT,84112,801581-5496,801587-9282,,,,
Huntsville,TX,77340,936435-7577,936293-4694,,,
Huntsville,AL,35801,256801-6283,256265-7126,,,
MI,48413-9615,989269-95214560,989269-5209,,,,
SD,57350,605353-6246,605353-6317,,,,
MI,48382,248937-3800,248937-3810,,,,
Hutchinson,KS,67502,620669-2730,620694-4115,,,
MN,55350-6933,320234-5000,320234-5125,,,,
OH,45371,937440-7111,937667-6977,,,,
LA,70563,337374-7616,337359-4510,,,,
FL,33166,305557-0330218,786534-8420,,,,
Hialeah,FL,33012,305557-0330201,305675-8445,,,
ID,83201,208239-1500,208239-2750,,,,
NY,14609,585241-6400,585241-6715,,,,
NY,14623,585241-6400,585475-1116,,,,
NY,14420-2448,585241-6400,585241-6689,,,,
NY,14626,585241-6575,585241-6595,,,,
Bldg E Ste 100,,Rochester,NY,14618,585241-64001724,585241-6630,
,,Rochester,NY,14606,585241-6400,585241-6815,
Sterling,VA,20165,703450-5800316,703450-0495,,,
,Lansdowne,VA,20176,703788-8428,571382-6587,,
,Herndon,VA,20170,703698-4488,703796-1103,,
Fairfax,VA,22030,703698-4488,703788-8422,,,
,Springfield,VA,22151,703698-4488,703698-0864,,
,Vienna,VA,22180,703698-4488,703242-4474,,
Fairfax,VA,22031,703698-4488,703205-9884,,,
,Centreville,VA,20121,703698-4488,703961-8312,,
San Antonio,TX,78212,210226-9705,210223-4555,,,
NJ,7849,973810-8100,973810-8102,,,,
NJ,7960,973984-1111,973261-5787,,,,
NJ,7052,973736-1680,862930-7397,,,,
NJ,8801,908735-4477,908735-6532,,,,
NJ,7410,201475-1300,201475-1709,,,,
Schenectady,NY,12309,518372-1344,518372-9848,,,
NJ,7041,908377-0391200,973376-0010,,,,
NY,12065,518836-2428,518836-2413,,,,
Schenectady,NY,12303,518881-1188,518881-1192,,,
Latham,NY,12110,518786-16003758,518213-0674,,,
NY,12866,518584-5000,518584-3387,,,,
Caguas,PR,725,787653-34341794,787653-1534,,,
OH,43952,740283-7848,740283-7398,,,,
AK,99645,907746-4646,907746-4640,,,,
AK,99508,907222-4624,907222-4651,,,,
Eagle River,AK,99577,907222-4624,907222-4651,,,
PA,18201,570501-7226,570501-7232,,,,
Bentonville,AR,72712,479271-0084,479271-7148,,,
SC,29708,802329-6878,803329-6812,,,,
GA,30517,770219-7666,770219-3823,,,,
Charleston,WV,25304,304388-9289,304388-1655,,,
GA,30534,770219-7666,770219-7665,,,,
VA,22556,540741-9729,540657-9730,,,,
AR,72653,870508-1164,870508-1696,,,,
MS,39705,662328-8402,662328-1554,,,,
ID,83605,208454-0742,208455-7538,,,,
MN,55441,763398-6390,763398-6369,,,,
CA,92870,714961-59904254,714961-5997,,,,
Christiansted,VI,820,340778-5305222,340778-2778,,,
TN,37066,615328-6500,615328-6525,,,,
Kansas City,MO,64118,816453-2700,816453-9943,,,
San Diego,CA,92120,858658-6500,866558-4329,,,
CA,92024,858658-6500,866558-4329,,,,
La Jolla,CA,92037,858658-6500,866558-4329,,,
CA,91950,858658-6500,866558-4329,,,,
